"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,       "HF"       ,      "maxHF"     
          0,           0,          47,      -8.211740811,      -8.520167138,      -8.363107997,      -7.893034225,      -13.21132978,      -2.691689152,   0.0003704384619,      0.1810620126,       970.1723378,       970.1723378,       970.1723378,   1.105948019e-06,       2.514156015,      0.4196467026,                 0,                 0,                 0,     -0.2833611139,       2.514156015,      0.4196467026,                 0,      0.1669135487,      0.3550741683,      -1077.391025,       92677.20425
          0,           0,          48,      -8.231740937,      -8.581002143,      -8.499053554,        -7.9437749,      -13.21847223,      -2.656882793,   0.0004074846173,      0.1991876866,       1067.189572,       1067.189572,       1067.189572,   1.105948019e-06,       2.664830879,     0.05160982908,                 0,                 0,                 0,      -1.616187156,       2.664830879,     0.05160982908,                 0,     0.01936701855,      0.3550741683,      -1069.627025,       92006.78076
          0,           0,          49,      -8.218677759,      -8.625912313,      -8.509090941,      -7.942733855,      -13.23431002,      -2.493776929,     0.00044824009,      0.2191558296,       1173.908529,       1173.908529,       1173.908529,   1.105948019e-06,       2.037495375,     -0.3832877699,                 0,                 0,                 0,       -2.74055694,       2.037495375,     -0.3832877699,                 0,     -0.1881171239,      0.3550741683,      -1059.272723,       91111.43193
          0,           0,          50,      -8.176204356,      -8.463521491,      -8.365624689,      -7.872479715,      -13.26690946,      -2.753067896,   0.0004930738835,      0.2411277269,       1291.299382,       1291.299382,       1291.299382,   1.105948019e-06,       1.452453898,     -0.1828991382,                 0,                 0,                 0,      -1.687581488,       1.452453898,     -0.1828991382,                 0,     -0.1259242296,      0.3550741683,       -1044.24091,       89812.44235
          0,           0,          51,      -8.150519178,      -8.293788576,      -8.698899109,      -7.819845855,      -13.27854133,      -2.544407104,   0.0005423792543,      0.2652809377,        1420.42932,        1420.42932,        1420.42932,   1.105948019e-06,       1.417950115,      0.5122638153,                 0,                 0,                 0,      0.7845351325,       1.417950115,      0.5122638153,                 0,      0.3612706892,      0.3550741683,      -1027.850781,       88396.26772
          0,           0,          52,      -8.189791856,      -8.296312865,      -8.764348079,      -7.860617932,      -13.29011731,      -2.431686874,   0.0005966155418,      0.2918530056,       1562.472252,       1562.472252,       1562.472252,   1.105948019e-06,       2.011729482,      0.7455830037,                 0,                 0,                 0,       1.234111039,       2.011729482,      0.7455830037,                 0,      0.3706179237,      0.3550741683,      -1013.000729,       87112.40595
          0,           0,          53,      -8.255471629,      -8.327678541,      -8.532737481,      -7.944191668,      -13.31539921,      -2.882023542,   0.0006562715351,      0.3211066839,       1718.719477,       1718.719477,       1718.719477,   1.105948019e-06,       2.421971788,      0.8197431552,                 0,                 0,                 0,       1.134936962,       2.421971788,      0.8197431552,                 0,      0.3384610668,      0.3550741683,      -998.6578286,       85872.16074
          0,           0,          54,      -8.300790755,      -8.390196713,      -8.390740291,      -7.998094827,       -13.3550985,       -2.63891258,   0.0007218863577,      0.3532737482,       1890.591425,       1890.591425,       1890.591425,   1.105948019e-06,       2.112382574,     -0.0978919313,                 0,                 0,                 0,      -1.856463354,       2.112382574,     -0.0978919313,                 0,    -0.04634195175,      0.3550741683,      -985.5067397,       84735.69049
          0,           0,          55,      -8.272764226,      -8.378023946,      -8.407875621,      -7.937785595,      -13.37982759,      -2.644541019,   0.0007940421849,      0.3886489265,       2079.650567,       2079.650567,       2079.650567,   1.105948019e-06,       1.506855885,     -0.1894859135,                 0,                 0,                 0,      -1.666300888,       1.506855885,     -0.1894859135,                 0,     -0.1257491943,      0.3550741683,      -971.4156919,       83520.80834
          0,           0,          56,      -8.232830546,      -8.413194618,      -8.378903676,      -7.869374801,      -13.38359987,      -2.848412902,   0.0008734047009,      0.4275411291,       2287.615624,       2287.615624,       2287.615624,   1.105948019e-06,      0.8280921432,       0.412592223,                 0,                 0,                 0,      0.8670969444,      0.8280921432,       0.412592223,                 0,      0.4982443395,      0.3550741683,      -956.5292886,       82239.93062
